SITE,Event,Sample.ID,Setting,date,Time ,Temp,mmHg,DOPC,Domg.l,C,SP.C,SALPPT,pH,ORPmV,Notes,Setting.Adj,Date.Adj
WP30,8,WP30.8,,8/8/2023,14:18,13.1,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP31,8,WP31.8,,8/8/2023,14:48,4,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP32,8,WP32.8,,8/8/2023,15:36,8.2,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP33,8,WP33.8,,8/9/2023,10:12,5.8,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP34,8,WP34.8,,8/9/2023,10:17,9.7,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP35,8,WP35.8,,8/9/2023,10:49,3.2,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP36,8,WP36.8,,8/9/2023,11:08,4.6,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP37,8,WP37.8,,8/9/2023,11:43,12,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP38,8,WP38.8,,8/9/2023,12:22,6.3,,n.a,n.a,,,n.a,n.a,n.a,Conductivity Probe not working,,08/08/23
WP33,8.2,WP33.8.2,,8/9/2023,10:12,23.4,,n.a,n.a,57.9,59.8140495867769,n.a,6.74,n.a,Measured in the Lab,,08/08/23
WP34,8.2,WP34.8.2,,8/9/2023,10:17,22.4,,n.a,n.a,25.1,26.4767932489452,n.a,6.64,n.a,Measured in the Lab,,08/08/23
WP35,8.2,WP35.8.2,,8/9/2023,10:49,22.5,,n.a,n.a,107.2,112.842105263158,n.a,5.38,n.a,Measured in the Lab,,08/08/23
WP36,8.2,WP36.8.2,,8/9/2023,11:08,21.3,,n.a,n.a,49.1,53.0237580993521,n.a,5.96,n.a,Measured in the Lab,,08/08/23
WP37,8.2,WP37.8.2,,8/9/2023,11:43,21.6,,n.a,n.a,51.9,55.68669527897,n.a,5.98,n.a,Measured in the Lab,,08/08/23
WP38,8.2,WP38.8.2,,8/9/2023,12:22,21,,n.a,n.a,92.2,100.217391304348,n.a,6.09,n.a,Measured in the Lab,,08/08/23
17,8,17.8,Stream,8/21/2023,18:42,14.1,,n.a,n.a,76.1,97.3145780051151,n.a,6.46,n.a,,West.Stream,08/21/23
16,8,16.8,Hydrothermal,8/21/2023,20:00,19.1,,n.a,n.a,177.6,201.360544217687,n.a,7.35,n.a,,Hydrothermal,08/21/23
15,8,15.8,River,8/21/2023,20:39,17.3,,n.a,n.a,226.1,267.25768321513,n.a,7.49,n.a,,River,08/21/23
7,8,7.8,Stream,8/22/2023,8:45,15.1,,n.a,n.a,169.6,211.471321695761,n.a,7.08,n.a,,East.Stream,08/21/23
5,8,5.8,Stream,8/22/2023,9:45,11.8,,n.a,n.a,176.7,240.08152173913,n.a,7.38,n.a,,East.Stream,08/21/23
30,8,30.8,Glacial,8/22/2023,10:51,15,,n.a,n.a,45.5,56.875,n.a,6.56,n.a,,Glacial,08/21/23
34,8,34.8,Glacial,8/22/2023,11:20,6.2,,n.a,n.a,26.1,41.8269230769231,n.a,6.27,n.a,,Glacial,08/21/23
34,8,34.8.2,Glacial,8/22/2023,11:20,6.2,,n.a,n.a,26.1,41.8269230769231,n.a,6.27,n.a,,Glacial,08/21/23
27,8,27.8,Stream,8/22/2023,12:28,10.2,,n.a,n.a,34,48.2954545454546,n.a,5.88,n.a,,West.Stream,08/21/23
40,8,40.8,Stream,8/22/2023,13:04,10.9,,n.a,n.a,33.1,46.100278551532,n.a,5.89,n.a,,West.Stream,08/21/23
26W,8,26W.8,Stream,8/22/2023,13:53,10.6,,n.a,n.a,77.9,109.410112359551,n.a,6.85,n.a,,West.Stream,08/21/23
26E,8,26E.8,Stream,8/22/2023,13:56,10.7,,n.a,n.a,69.7,97.6190476190476,n.a,6.91,n.a,,West.Stream,08/21/23
38,8,38.8,Stream,8/22/2023,14:20,10.7,,n.a,n.a,61,85.4341736694678,n.a,6.71,n.a,,West.Stream,08/21/23
24,8,24.8,Stream,8/22/2023,15:15,11.3,,n.a,n.a,130,179.063360881543,n.a,6.7,n.a,,West.Stream,08/21/23
42,8,42.8,Stream,8/22/2023,15:44,10.6,,n.a,n.a,81,113.76404494382,n.a,6.74,n.a,,West.Stream,08/21/23
39,8,39.8,Stream,8/22/2023,16:02,13.1,,n.a,n.a,77.9,102.230971128609,n.a,6.81,n.a,,West.Stream,08/21/23
22,8,22.8,Stream,8/22/2023,16:30,9.6,,n.a,n.a,82.2,118.78612716763,n.a,6.91,n.a,,West.Stream,08/21/23
20,8,20.8,Stream,8/22/2023,17:04,12.4,,n.a,n.a,138.5,185.160427807487,n.a,7.37,n.a,,West.Stream,08/21/23
19,8,19.8,Stream,8/22/2023,17:42,12.8,,n.a,n.a,197,260.582010582011,n.a,7.8,n.a,,West.Stream,08/21/23
10,8,10.8,Stream,8/24/2023,8:23,11.6,,n.a,n.a,217.2,296.72131147541,n.a,7.97,n.a,,East.Stream,08/21/23
12,8,12.8,Stream,8/24/2023,8:53,10.3,,n.a,n.a,106.2,150.42492917847,n.a,7.34,n.a,,East.Stream,08/21/23
14,8,14.8,Stream,8/24/2023,9:29,10.8,,n.a,n.a,73.4,102.513966480447,n.a,6.91,n.a,,East.Stream,08/21/23
33,8,33.8,Stream,8/24/2023,9:41,12.2,,n.a,n.a,143.1,192.338709677419,n.a,6.99,n.a,,East.Stream,08/21/23
3,8,3.8,Stream,8/24/2023,10:40,11.6,,n.a,n.a,140.8,192.349726775956,n.a,7.6,n.a,,East.Stream,08/21/23
1,8,1.8,Lake.Outlet,8/24/2023,11:14,17.8,,n.a,n.a,150.4,175.700934579439,n.a,7.15,n.a,,Lake.Outlet,08/21/23
10,9,10.9,Stream,9/18/2023,18:39,12.7,,n.a,n.a,271.1,359.549071618037,,7.44,n.a,,East.Stream,09/18/23
7,9,7.9,Stream,9/20/2023,8:29,9.8,,n.a,n.a,158.1,227.155172413793,,7.46,n.a,,East.Stream,09/18/23
5,9,5.9,Stream,9/20/2023,9:22,8.5,,n.a,n.a,148.7,221.940298507463,,7.3,n.a,,East.Stream,09/18/23
34,9,34.9,Glacial,9/20/2023,10:21,5.4,,n.a,n.a,43.6,71.7105263157895,,6.74,n.a,,Glacial,09/18/23
30,9,30.9,Glacial,9/20/2023,10:37,11.6,,n.a,n.a,50.5,68.9890710382514,,6.62,n.a,,Glacial,09/18/23
27,9,27.9,Stream,9/20/2023,11:40,7.7,,n.a,n.a,61.4,93.8837920489297,,6.38,n.a,,West.Stream,09/18/23
40,9,40.9,Stream,9/20/2023,12:14,8.9,,n.a,n.a,80,117.994100294985,,6.73,n.a,,West.Stream,09/18/23
26W,9,26W.9,Stream,9/20/2023,12:43,10.1,,n.a,n.a,155.7,221.794871794872,,6.9,n.a,,West.Stream,09/18/23
26E,9,26E.9,Stream,9/20/2023,12:46,8.7,,n.a,n.a,199.7,296.290801186944,,7,n.a,,West.Stream,09/18/23
38,9,38.9,Stream,9/20/2023,13:14,10,,n.a,n.a,240.3,343.285714285714,,7.22,n.a,,West.Stream,09/18/23
24,9,24.9,Stream,9/20/2023,14:09,10,,n.a,n.a,264.2,377.428571428571,,7.45,n.a,,West.Stream,09/18/23
42,9,42.9,Stream,9/20/2023,14:21,9.4,,n.a,n.a,97.4,141.56976744186,,7.31,n.a,,West.Stream,09/18/23
19,9,19.9,Stream,9/20/2023,15:20,9.4,,n.a,n.a,227.3,330.377906976744,,8.36,n.a,,West.Stream,09/18/23
20,9,20.9,Stream,9/20/2023,15:30,9.6,,n.a,n.a,153.7,222.109826589595,,7.93,n.a,,West.Stream,09/18/23
WP38,9,WP38.9,,9/21/2023,9:40,19.9,,n.a,n.a,58.8,65.4788418708241,,7.67,n.a,Measured in the Lab,West.Stream,09/18/23
WP37,9,WP37.9,,9/21/2023,n.a,21,,n.a,n.a,59.3,64.4565217391304,,7.86,n.a,Measured in the Lab,,09/18/23
WP36,9,WP36.9,,9/21/2023,n.a,21,,n.a,n.a,59.4,64.5652173913043,,7.94,n.a,Measured in the Lab,,09/18/23
WP35,9,WP35.9,,9/21/2023,10:55,21.2,,n.a,n.a,76.7,83.008658008658,,7.66,n.a,Measured in the Lab,,09/18/23
WP34,9,WP34.9,,9/21/2023,n.a,20.7,,n.a,n.a,29.6,32.3851203501094,,7.21,n.a,Measured in the Lab,,09/18/23
WP33,9,WP33.9,,9/21/2023,n.a,20.5,,n.a,n.a,50.7,55.7142857142857,,7.05,n.a,Measured in the Lab,,09/18/23
1,9,1.9,Lake.Outlet,9/21/2023,n.a,14.4,,n.a,n.a,,,,n.a,n.a,"Take from the USGS Gauge, Snake River near Moran",Lake.Outlet,09/18/23
3,9,3.9,Stream,9/21/2023,14:25,n.a,,n.a,n.a,,,,n.a,n.a,,East.Stream,09/18/23
17,9,17.9,Stream,9/21/2023,16:07,n.a,,n.a,n.a,,,,n.a,n.a,,West.Stream,09/18/23
16,9,16.9,Hydrothermal,9/21/2023,17:19,n.a,,n.a,n.a,,,,n.a,n.a,,Hydrothermal,09/18/23
15,9,15.9,River,9/21/2023,17:52,n.a,,n.a,n.a,,,,n.a,n.a,,River,09/18/23
14,9,14.9,Stream,9/21/2023,18:11,n.a,,n.a,n.a,,,,n.a,n.a,,East.Stream,09/18/23
12,9,12.9,Stream,9/21/2023,18:46,n.a,,n.a,n.a,,,,n.a,n.a,,East.Stream,09/18/23
17,10,17.1,Stream,06/17/2024,05:22:00 PM,9.6,n.a,n.a,n.a,65.1,94.0751445086705,,6.87,n.a,,West.Stream,
16,10,16.1,Hydrothermal,06/17/2024,07:02:00 PM,16.4,n.a,n.a,n.a,164.7,198.913043478261,,7,n.a,,Hydrothermal,
15,10,15.1,River,06/17/2024,07:37:00 PM,8.5,n.a,n.a,n.a,135.1,201.641791044776,,6.87,n.a,,River,
19,10,19.1,Stream,06/19/2024,08:24:00 AM,2.7,n.a,n.a,n.a,140.1,252.888086642599,,7.57,n.a,,West.Stream,
20,10,20.1,Stream,06/19/2024,09:26:00 AM,3.1,n.a,n.a,n.a,120.2,213.879003558719,,7.61,n.a,,West.Stream,
22,10,22.1,Stream,06/19/2024,10:20:00 AM,4.3,n.a,n.a,n.a,76.3,130.204778156997,,7.14,n.a,,West.Stream,
37,10,37.1,Stream,06/19/2024,11:20:00 AM,5.6,n.a,n.a,n.a,42.8,69.9346405228758,,6.77,n.a,,West.Stream,
38,10,38.1,Stream,06/19/2024,11:56:00 AM,6.4,n.a,n.a,n.a,58.4,92.9936305732484,,6.79,n.a,,West.Stream,
26,10,26.1,Stream,06/19/2024,01:29:00 PM,6.5,n.a,n.a,n.a,33.4,53.015873015873,,6.54,n.a,,West.Stream,
27,10,27.1,Stream,06/19/2024,02:32:00 PM,6.2,n.a,n.a,n.a,33.6,53.8461538461539,,6.61,n.a,,West.Stream,
34,10,34.1,Glacial,06/19/2024,03:01:00 PM,5.7,n.a,n.a,n.a,24.1,39.2508143322476,,6.52,n.a,,Glacial,
30,10,30.1,Glacial,06/19/2024,03:37:00 PM,15.8,n.a,n.a,n.a,31.1,38.1127450980392,,6.44,n.a,,Glacial,
5,10,5.1,Stream,06/19/2024,04:40:00 PM,15.2,n.a,n.a,n.a,143.2,178.109452736318,,7.56,n.a,,East.Stream,
1,10,1.1,Lake.Outlet,06/20/2024,07:34:00 AM,9.7,n.a,n.a,n.a,150.6,217.00288184438,,7.42,n.a,,Lake.Outlet,
WP33,10,WP33.10,,06/20/2024,12:28:00 PM,3,n.a,n.a,n.a,30.8,55,,7.04,n.a,,,
WP34,10,WP34.10,,06/20/2024,12:46:00 PM,6.4,n.a,n.a,n.a,14.3,22.7707006369427,,6.36,n.a,,,
WP36,10,WP36.10,,06/20/2024,01:52:00 PM,3.8,n.a,n.a,n.a,35.2,61.1111111111111,,6.77,n.a,,,
WP35,10,WP35.10,,06/20/2024,02:01:00 PM,4.6,n.a,n.a,n.a,36.8,62.1621621621622,,6.72,n.a,,,
WP37,10,WP37.10,,06/20/2024,02:25:00 PM,9.5,n.a,n.a,n.a,30,43.4782608695652,,6.39,n.a,,,
WP38,10,WP38.10,,06/20/2024,02:49:00 PM,5.3,n.a,n.a,n.a,37.6,62.0462046204621,,6.57,n.a,,,
10,10,10.1,Stream,06/21/2024,07:00:00 AM,9.2,n.a,n.a,n.a,149.6,218.713450292398,,7.49,n.a,,,
12,10,12.1,Stream,06/21/2024,07:15:00 AM,7.3,n.a,n.a,n.a,96,148.606811145511,,7.35,n.a,,,
14,10,14.1,Stream,06/21/2024,07:30:00 AM,9.2,n.a,n.a,n.a,67,97.953216374269,,7.2,n.a,,,
33,10,33.1,Stream,06/21/2024,07:34:00 AM,6.5,n.a,n.a,n.a,59.5,94.4444444444444,,7.15,n.a,,,
17,11,17.11,Stream,07/13/2024,03:50:00 PM,17.7,,,,42.1,49.2974238875878,,7.1,,,,
16,11,16.11,Hydrothermal,07/13/2024,06:29:00 PM,23.2,,,,156.6,162.448132780083,,7.47,,,,
15,11,15.11,River,07/13/2024,06:50:00 PM,21.2,,,,233.9,253.138528138528,,7.65,,,,
20,11,20.11,Stream,07/15/2024,08:34:00 AM,8.1,,,,107.8,162.839879154079,,7.59,,,,
19,11,19.11,Stream,07/15/2024,,7.9,,,,159,241.641337386018,,8.05,,,,
22,11,22.11,Stream,07/15/2024,11:39:00 AM,7.4,,,,71.6,110.493827160494,,7.38,,,,
39,11,39.11,Stream,07/15/2024,01:02:00 PM,11.4,,,,49.5,67.9945054945055,,6.82,,,,
38,11,38.11,Stream,07/15/2024,02:58:00 PM,10.5,,,,61.7,86.9014084507042,,7.08,,,,
40,11,40.11,Stream,07/15/2024,04:37:00 PM,10.9,,,,30.8,42.8969359331476,,6.49,,,,
27,11,27.11,Stream,07/15/2024,06:10:00 PM,10.8,,,,33.8,47.2067039106145,,6.5,,,,
34,11,34.11,Glacial,07/15/2024,06:40:00 PM,6.1,,,,25.1,40.3536977491961,,6.57,,,,
WP36,11,WP36.11,,07/16/2024,10:35:00 AM,2.9,,,,21,37.6344086021505,,6.67,,,,
WP45,11,WP45.11,,07/16/2024,12:52:00 PM,1,,,,20.6,39.6153846153846,,6.85,,,,
WP35,11,WP35.11,,07/16/2024,02:15:00 PM,4.8,,,,40.7,68.2885906040268,,6.84,,,,
WP42,11,WP42.11,,07/16/2024,04:03:00 PM,23.4,,,,10.6,10.9504132231405,,5.95,,,,
WP43,11,WP43.11,,07/16/2024,04:38:00 PM,17.2,,,,11.8,13.9810426540284,,6.14,,,,
WP44,11,WP44.11,,07/16/2024,05:12:00 PM,15.5,,,,11,13.5802469135802,,6.13,,,,
WP33,11,WP33.11,,07/16/2024,06:19:00 PM,6.2,,,,29.4,47.1153846153846,,6.5,,,,
WP34,11,WP34.11,,07/16/2024,06:24:00 PM,13.3,,,,15.2,19.8433420365535,,6.28,,,,
WP37,11,WP37.11,,07/16/2024,06:39:00 PM,10.6,,,,34.2,48.0337078651685,,6.28,,,,
WP38,11,WP38.11,,07/16/2024,07:03:00 PM,5.3,,,,39,64.3564356435644,,6.54,,,,
30,11,30.11,Stream,07/17/2024,09:17:00 AM,14.9,,,,33.3,41.7293233082707,,6.6,,,,
5,11,5.11,Stream,07/17/2024,10:14:00 AM,14.3,,,,155.9,198.346055979644,,7.61,,,,
10,11,10.11,Stream,07/17/2024,12:28:00 PM,16.2,,,,244.2,296.359223300971,,7.18,,,,
14,11,14.11,Stream,07/17/2024,01:08:00 PM,16.4,,,,73.8,89.1304347826087,,7.32,,,,
33,11,33.11,Stream,07/17/2024,01:15:00 PM,,,,,,,,,,,,
12,11,12.11,Stream,07/17/2024,01:51:00 PM,13,,,,96.8,127.368421052632,,7.3,,,,
1,11,1.11,Lake.Outlet,07/17/2024,02:30:00 PM,14.6,,,,143.1,180.681818181818,,7.33,,,,
17,12,17.12,Stream,08/16/2024,03:09:00 PM,17.9,,,,55.9,65.1515151515152,,8.37,,,,
16,12,16.12,Hydrothermal,08/16/2024,05:30:00 PM,23.8,,,,186.7,191.290983606557,,8.84,,,,
15,12,15.12,River,08/16/2024,06:00:00 PM,20.1,,,,290,321.507760532151,,8.49,,,,
14,12,14.12,Stream,08/16/2024,06:30:00 PM,14.7,,,,79.2,99.7481108312343,,7.72,,,,
20,12,20.12,Stream,08/18/2024,08:47:00 AM,9.1,,,,216,316.715542521994,,8.34,,,,
19,12,19.12,Stream,08/18/2024,08:57:00 AM,9.7,,,,289,416.4265129683,,8.67,,,,
22,12,22.12,Stream,08/18/2024,09:44:00 AM,8.6,,,,122.7,182.589285714286,,8.05,,,,
38,12,38.12,Stream,08/18/2024,10:47:00 AM,10.7,,,,80.2,112.324929971989,,7.9,,,,
40,12,40.12,Stream,08/18/2024,12:04:00 PM,11.2,,,,44.1,60.9116022099448,,7.31,,,,
27,12,27.12,Stream,08/18/2024,01:09:00 PM,12,,,,47.7,64.4594594594595,,7.56,,,,
34,12,34.12,Glacial,08/18/2024,01:54:00 PM,8.2,,,,35.6,53.6144578313253,,7.42,,,,
30,12,30.12,Stream,08/18/2024,02:40:00 PM,21.1,,,,37.4,40.5639913232104,,7.75,,,,
5,12,5.12,Stream,08/18/2024,03:55:00 PM,20.8,,,,215,234.71615720524,,8.26,,,,
7,12,7.12,Stream,08/18/2024,05:18:00 PM,21.4,,,,197.1,212.39224137931,,8.6,,,,
39,12,39.12,Stream,08/18/2024,06:12:00 PM,13.1,,,,68.2,89.501312335958,,7.58,,,,
WP42,12,WP42.12,,08/19/2024,10:09:00 AM,16,,,,13.7,16.7073170731707,,7.11,,,,
WP43,12,WP43.12,,08/19/2024,10:52:00 AM,15.9,,,,19.7,24.0831295843521,,7.53,,,,
WP44,12,WP44.12,,08/19/2024,11:35:00 AM,16.8,,,,19.9,23.8038277511962,,7.37,,,,
WP41,12,WP41.12,,08/19/2024,12:24:00 PM,9.8,,,,18.8,27.0114942528736,,7.5,,,,
WP40,12,WP40.12,,08/19/2024,01:13:00 PM,7.6,,,,99.2,152.147239263804,,7.67,,,,
WP46,12,WP46.12,,08/19/2024,01:45:00 PM,18.2,,,,59,68.287037037037,,7.81,,,,
WP47,12,WP47.12,,08/19/2024,02:35:00 PM,11.2,,,,27.2,37.5690607734807,,7.09,,,,
WP48,12,WP48.12,,08/19/2024,02:48:00 PM,9.9,,,,47.6,68.1948424068768,,7.32,,,,
WP49,12,WP49.12,,08/19/2024,02:58:00 PM,10,,,,47.1,67.2857142857143,,7.23,,,,
WP33,12,WP33.12,,08/19/2024,03:09:00 PM,11.1,,,,47.1,65.2354570637119,,7.32,,,,
WP34,12,WP34.12,,08/19/2024,03:15:00 PM,15.5,,,,19.6,24.1975308641975,,7.1,,,,
WP36,12,WP36.12,,08/19/2024,03:58:00 PM,5.6,,,,45,73.5294117647059,,7.57,,,,
WP35,12,WP35.12,,08/19/2024,04:09:00 PM,5.5,,,,87.6,143.606557377049,,7.46,,,,
WP37,12,WP37.12,,08/19/2024,04:45:00 PM,13,,,,55.2,72.6315789473684,,7.14,,,,
WP50,12,WP50.12,,08/19/2024,04:56:00 PM,6.4,,,,79.8,127.070063694268,,7.61,,,,
WP51,12,WP51.12,,08/19/2024,05:02:00 PM,8.9,,,,63.4,93.5103244837758,,7.1,,,,
WP52,12,WP52.12,,08/19/2024,05:09:00 PM,9.5,,,,62.9,91.1594202898551,,7.12,,,,
WP53,12,WP53.12,,08/19/2024,05:15:00 PM,6.9,,,,70.4,110.344827586207,,7.35,,,,
WP38,12,WP38.12,,08/19/2024,05:27:00 PM,7.6,,,,70.2,107.668711656442,,7.44,,,,
1,12,,Lake.Outlet,08/20/2024,07:33:00 PM,17.2,,,,182.9,216.706161137441,,7.95,,,,
10,12,,Stream,08/20/2024,07:38:00 AM,12.8,,,,305,403.439153439153,,8.33,,,,
12,12,,Stream,08/20/2024,08:25:00 AM,10.7,,,,127.1,178.011204481793,,7.86,,,,
WP42,,,,09/23/2024,09:13:00 AM,6.2,,,,14.5,23.2371794871795,,7.17,,,,
WP70,,,,09/23/2024,09:52:00 AM,6.2,,,,18.2,29.1666666666667,,6.69,,,,
WP72,,,,09/23/2024,10:03:00 AM,7,,,,17.8,27.8125,,6.75,,,,
WP71,,,,09/23/2024,10:05:00 AM,4.1,,,,19.4,33.3333333333333,,6.76,,,,
WP43,,,,09/23/2024,10:22:00 AM,8,,,,18,27.2727272727273,,6.63,,,,
WP44,,,,09/23/2024,10:53:00 AM,6.5,,,,15.4,24.4444444444444,,6.42,,,,
WP73,,,,09/23/2024,11:19:00 AM,7.1,,,,15.9,24.7663551401869,,6.23,,,,
WP74,,,,09/23/2024,11:32:00 AM,7.1,,,,10.7,16.6666666666667,,6.68,,,,
WP75,,,,09/23/2024,12:21:00 PM,4.8,,,,79.7,133.724832214765,,6.4,,,,
WP76,,,,09/23/2024,12:59:00 PM,4.8,,,,20.4,34.2281879194631,,6.67,,,,
WP77,,,,09/23/2024,01:17:00 PM,8.7,,,,62.3,92.433234421365,,6.28,,,,
WP40,,,,09/23/2024,01:34:00 PM,3.3,,,,153.9,271.908127208481,,6.81,,,,
WP46,,,,09/23/2024,02:11:00 PM,12.5,,,,63.1,84.1333333333333,,7.42,,,,
WP47,,,,09/23/2024,03:02:00 PM,6.9,,,,21.8,34.1692789968652,,7.38,,,,
WP48,,,,09/23/2024,03:15:00 PM,5.1,,,,40.9,67.9401993355482,,6.63,,,,
WP78,,,,09/23/2024,03:36:00 PM,4.5,,,,40.6,68.8135593220339,,6.93,,,,
WP49,,,,09/23/2024,03:39:00 PM,5.1,,,,40.8,67.7740863787375,,6.77,,,,
WP79,,,,09/23/2024,03:42:00 PM,5.4,,,,40.8,67.1052631578947,,6.81,,,,
WP80,,,,09/23/2024,03:49:00 PM,7.6,,,,17.8,27.3006134969325,,6.45,,,,
WP33,,,,09/23/2024,03:56:00 PM,5.6,,,,40.5,66.1764705882353,,6.72,,,,
WP34,,,,09/23/2024,04:02:00 PM,7.5,,,,17.5,26.9230769230769,,6.79,,,,
WP35,,,,09/23/2024,04:39:00 PM,4.2,,,,70.7,121.061643835616,,7.02,,,,
WP36,,,,09/23/2024,05:02:00 PM,3.5,,,,55.2,96.8421052631579,,7.778,,,,
WP81,,,,09/23/2024,05:25:00 PM,8.7,,,,50.6,75.0741839762611,,7.23,,,,
WP37,,,,09/23/2024,05:34:00 PM,6.5,,,,41.5,65.8730158730159,,7.01,,,,
WP50,,,,09/23/2024,05:42:00 PM,4.3,,,,69.1,117.918088737201,,7.43,,,,
WP51,,,,09/23/2024,05:50:00 PM,7.2,,,,47.9,74.3788819875776,,7.15,,,,
WP52,,,,09/23/2024,05:56:00 PM,7.4,,,,49.9,77.0061728395062,,6.82,,,,
WP53,,,,09/23/2024,06:01:00 PM,4.8,,,,65.8,110.402684563758,,6.96,,,,
WP38,,,,09/23/2024,06:19:00 PM,4.8,,,,65.3,109.563758389262,,7.21,,,,
