STATION,NAME,DATE,TIME,PRCP,
USC00486440,"MORAN 5 WNW, WY US",2022-04-01,12:00:00,0.02,
USC00486440,"MORAN 5 WNW, WY US",2022-04-02,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-03,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-04,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-05,12:00:00,0.25,
USC00486440,"MORAN 5 WNW, WY US",2022-04-06,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-07,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-08,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-09,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-10,12:00:00,0.27,
USC00486440,"MORAN 5 WNW, WY US",2022-04-11,12:00:00,0.27,
USC00486440,"MORAN 5 WNW, WY US",2022-04-12,12:00:00,0.23,
USC00486440,"MORAN 5 WNW, WY US",2022-04-13,12:00:00,0.13,
USC00486440,"MORAN 5 WNW, WY US",2022-04-14,12:00:00,0.2,
USC00486440,"MORAN 5 WNW, WY US",2022-04-15,12:00:00,0.32,
USC00486440,"MORAN 5 WNW, WY US",2022-04-16,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-17,12:00:00,0.34,
USC00486440,"MORAN 5 WNW, WY US",2022-04-18,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-19,12:00:00,0.07,
USC00486440,"MORAN 5 WNW, WY US",2022-04-20,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-21,12:00:00,0.07,
USC00486440,"MORAN 5 WNW, WY US",2022-04-22,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-23,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-24,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-25,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-26,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-27,12:00:00,0,
USC00486440,"MORAN 5 WNW, WY US",2022-04-28,12:00:00,0.11,
USC00486440,"MORAN 5 WNW, WY US",2022-04-29,12:00:00,0.31,
USC00486440,"MORAN 5 WNW, WY US",2022-04-30,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-01,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-02,12:00:00,0.23,
USC00488315,"SNAKE RIVER, WY US",2022-05-03,12:00:00,0.35,
USC00488315,"SNAKE RIVER, WY US",2022-05-04,12:00:00,0.03,
USC00488315,"SNAKE RIVER, WY US",2022-05-05,12:00:00,0.11,
USC00488315,"SNAKE RIVER, WY US",2022-05-06,12:00:00,0.03,
USC00488315,"SNAKE RIVER, WY US",2022-05-07,12:00:00,0,USC00486440
USC00488315,"SNAKE RIVER, WY US",2022-05-08,12:00:00,0,USC00486440
USC00488315,"SNAKE RIVER, WY US",2022-05-09,12:00:00,0.1,USC00486440
USC00488315,"SNAKE RIVER, WY US",2022-05-10,12:00:00,0.08,
USC00488315,"SNAKE RIVER, WY US",2022-05-11,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-12,12:00:00,0.06,
USC00488315,"SNAKE RIVER, WY US",2022-05-13,12:00:00,0.12,USC00486440
USC00488315,"SNAKE RIVER, WY US",2022-05-14,12:00:00,0.22,
USC00488315,"SNAKE RIVER, WY US",2022-05-15,12:00:00,0.18,
USC00488315,"SNAKE RIVER, WY US",2022-05-16,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-17,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-18,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-19,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-20,12:00:00,0.02,
USC00488315,"SNAKE RIVER, WY US",2022-05-21,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-22,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-23,12:00:00,0.03,
USC00488315,"SNAKE RIVER, WY US",2022-05-24,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-25,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-26,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-05-27,12:00:00,0.11,
USC00488315,"SNAKE RIVER, WY US",2022-05-28,12:00:00,0.37,
USC00488315,"SNAKE RIVER, WY US",2022-05-29,12:00:00,0.43,
USC00488315,"SNAKE RIVER, WY US",2022-05-30,12:00:00,0.53,
USC00488315,"SNAKE RIVER, WY US",2022-05-31,12:00:00,0.21,
USC00488315,"SNAKE RIVER, WY US",2022-06-01,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-02,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-03,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-04,12:00:00,0.03,
USC00488315,"SNAKE RIVER, WY US",2022-06-05,12:00:00,0.2,
USC00488315,"SNAKE RIVER, WY US",2022-06-06,12:00:00,0.58,
USC00488315,"SNAKE RIVER, WY US",2022-06-07,12:00:00,0.06,
USC00488315,"SNAKE RIVER, WY US",2022-06-08,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-09,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-10,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-11,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-12,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-13,12:00:00,1.18,
USC00488315,"SNAKE RIVER, WY US",2022-06-14,12:00:00,0.02,
USC00488315,"SNAKE RIVER, WY US",2022-06-15,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-16,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-17,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-18,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-06-19,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-06-20,12:00:00,0.17,
USC00488315,"SNAKE RIVER, WY US",2022-06-21,12:00:00,0.09,
USC00488315,"SNAKE RIVER, WY US",2022-06-22,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-23,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-24,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-06-25,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-26,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-27,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-28,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-29,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-06-30,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-01,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-02,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-03,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-07-04,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-05,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-06,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-07,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-08,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-09,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-10,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-11,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-12,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-13,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-14,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-07-15,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-16,12:00:00,0.36,
USC00488315,"SNAKE RIVER, WY US",2022-07-17,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-18,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-19,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-20,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-21,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-22,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-23,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-24,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-25,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-26,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-27,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-28,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-29,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-30,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-07-31,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-01,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-02,12:00:00,0.04,
USC00488315,"SNAKE RIVER, WY US",2022-08-03,12:00:00,0.15,
USC00488315,"SNAKE RIVER, WY US",2022-08-04,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-05,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-08-06,12:00:00,0.3,
USC00488315,"SNAKE RIVER, WY US",2022-08-07,12:00:00,0.43,
USC00488315,"SNAKE RIVER, WY US",2022-08-08,12:00:00,0,(GHCND:USC00480585) 
USC00488315,"SNAKE RIVER, WY US",2022-08-09,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-10,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-11,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-08-12,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-13,12:00:00,0.07,
USC00488315,"SNAKE RIVER, WY US",2022-08-14,12:00:00,0.35,
USC00488315,"SNAKE RIVER, WY US",2022-08-15,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-16,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-17,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-18,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-19,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-20,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-08-21,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-22,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-08-23,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-24,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-25,12:00:00,0.39,
USC00488315,"SNAKE RIVER, WY US",2022-08-26,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-27,12:00:00,0.4,
USC00488315,"SNAKE RIVER, WY US",2022-08-28,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-29,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-30,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-08-31,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-01,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-02,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-03,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-04,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-05,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-06,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-07,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-08,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-09,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-09-10,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-11,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-12,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-13,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-14,12:00:00,0.11,
USC00488315,"SNAKE RIVER, WY US",2022-09-15,12:00:00,0.06,
USC00488315,"SNAKE RIVER, WY US",2022-09-16,12:00:00,0.1,
USC00488315,"SNAKE RIVER, WY US",2022-09-17,12:00:00,0.4,
USC00488315,"SNAKE RIVER, WY US",2022-09-18,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-09-19,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-20,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-21,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-22,12:00:00,0.72,
USC00488315,"SNAKE RIVER, WY US",2022-09-23,12:00:00,0.02,
USC00488315,"SNAKE RIVER, WY US",2022-09-24,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-25,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-26,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-27,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-28,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-09-29,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-09-30,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-10-01,12:00:00,0.19,
USC00488315,"SNAKE RIVER, WY US",2022-10-02,12:00:00,0.06,
USC00488315,"SNAKE RIVER, WY US",2022-10-03,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-04,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-05,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-06,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-07,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-08,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-09,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-10,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-11,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-12,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-13,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-14,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-15,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-16,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-17,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-18,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-19,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-20,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-21,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-22,12:00:00,0.71,
USC00488315,"SNAKE RIVER, WY US",2022-10-23,12:00:00,0.38,
USC00488315,"SNAKE RIVER, WY US",2022-10-24,12:00:00,0.09,
USC00488315,"SNAKE RIVER, WY US",2022-10-25,12:00:00,0.24,
USC00488315,"SNAKE RIVER, WY US",2022-10-26,12:00:00,0.1,
USC00488315,"SNAKE RIVER, WY US",2022-10-27,12:00:00,0.35,
USC00488315,"SNAKE RIVER, WY US",2022-10-28,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-29,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-30,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-10-31,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-11-01,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-11-02,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2022-11-03,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-11-04,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-05,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-06,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-07,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-08,12:00:00,0.7,
USC00488315,"SNAKE RIVER, WY US",2022-11-09,12:00:00,0.48,
USC00488315,"SNAKE RIVER, WY US",2022-11-10,12:00:00,0.21,
USC00488315,"SNAKE RIVER, WY US",2022-11-11,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-12,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-13,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-14,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-15,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-16,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-17,12:00:00,0.06,
USC00488315,"SNAKE RIVER, WY US",2022-11-18,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-19,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-20,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-21,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-22,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-23,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-24,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-25,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-26,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-27,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-28,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-11-29,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-11-30,12:00:00,0.18,
USC00488315,"SNAKE RIVER, WY US",2022-12-01,12:00:00,0.29,
USC00488315,"SNAKE RIVER, WY US",2022-12-02,12:00:00,0.76,
USC00488315,"SNAKE RIVER, WY US",2022-12-03,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-12-04,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-05,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-06,12:00:00,0.14,
USC00488315,"SNAKE RIVER, WY US",2022-12-07,12:00:00,0.04,
USC00488315,"SNAKE RIVER, WY US",2022-12-08,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-12-09,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-10,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-11,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-12,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-13,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-14,12:00:00,0.02,
USC00488315,"SNAKE RIVER, WY US",2022-12-15,12:00:00,0.03,
USC00488315,"SNAKE RIVER, WY US",2022-12-16,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-12-17,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-12-18,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-12-19,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-12-20,12:00:00,0.12,
USC00488315,"SNAKE RIVER, WY US",2022-12-21,12:00:00,0.76,
USC00488315,"SNAKE RIVER, WY US",2022-12-22,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-23,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2022-12-24,12:00:00,0.12,
USC00488315,"SNAKE RIVER, WY US",2022-12-25,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2022-12-26,12:00:00,0.02,
USC00488315,"SNAKE RIVER, WY US",2022-12-27,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2022-12-28,12:00:00,0.48,
USC00488315,"SNAKE RIVER, WY US",2022-12-29,12:00:00,0.11,
USC00488315,"SNAKE RIVER, WY US",2022-12-30,12:00:00,0.07,
USC00488315,"SNAKE RIVER, WY US",2022-12-31,12:00:00,0.54,
USC00488315,"SNAKE RIVER, WY US",2023-01-01,12:00:00,0.08,
USC00488315,"SNAKE RIVER, WY US",2023-01-02,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-03,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2023-01-04,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2023-01-05,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2023-01-06,12:00:00,0.12,
USC00488315,"SNAKE RIVER, WY US",2023-01-07,12:00:00,0.03,
USC00488315,"SNAKE RIVER, WY US",2023-01-08,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-09,12:00:00,0.2,
USC00488315,"SNAKE RIVER, WY US",2023-01-10,12:00:00,0.16,
USC00488315,"SNAKE RIVER, WY US",2023-01-11,12:00:00,0.12,
USC00488315,"SNAKE RIVER, WY US",2023-01-12,12:00:00,0.13,
USC00488315,"SNAKE RIVER, WY US",2023-01-13,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-14,12:00:00,0.32,
USC00488315,"SNAKE RIVER, WY US",2023-01-15,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2023-01-16,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2023-01-17,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-18,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-19,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2023-01-20,12:00:00,,
USC00488315,"SNAKE RIVER, WY US",2023-01-21,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-22,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-23,12:00:00,0,
USC00488315,"SNAKE RIVER, WY US",2023-01-24,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2023-01-25,12:00:00,0.01,
USC00488315,"SNAKE RIVER, WY US",2023-01-26,12:00:00,0.05,
USC00488315,"SNAKE RIVER, WY US",2023-01-27,12:00:00,0.23,
USC00488315,"SNAKE RIVER, WY US",2023-01-28,12:00:00,0.5,
USC00488315,"SNAKE RIVER, WY US",2023-01-29,12:00:00,0.12,
